ID;SID;x;y;z
272;30;17.00;101.25;111.90
273;39;16.00;101.75;111.90
274;39;16.00;101.75;111.85
275;39;16.00;102.25;111.90
276;39;16.00;102.25;111.85
277;39;16.50;101.75;111.90
278;39;16.50;101.75;111.85
279;39;16.50;102.25;111.90
280;39;16.50;102.25;111.85
281;40;16.00;102.25;111.90
282;40;16.00;102.25;111.85
283;40;16.00;102.75;111.90
284;40;16.00;102.75;111.85
285;40;16.50;102.25;111.90
286;40;16.50;102.25;111.85
287;40;16.50;102.75;111.90
288;40;16.50;102.75;111.85
289;41;16.50;102.25;111.90
290;41;16.50;102.25;111.85
291;41;16.50;102.75;111.90
292;41;16.50;102.75;111.85
293;41;17.00;102.25;111.90
294;41;17.00;102.25;111.85
295;41;17.00;102.75;111.90
296;41;17.00;102.75;111.85
297;42;16.50;101.75;111.90
298;42;16.50;101.75;111.85
299;42;16.50;102.25;111.90
300;42;16.50;102.25;111.85
301;42;17.00;101.75;111.90
302;42;17.00;101.75;111.85
303;42;17.00;102.25;111.90
304;42;17.00;102.25;111.85
305;45;17.00;101.75;111.90
306;45;17.00;101.75;111.85
307;45;17.00;102.25;111.90
308;45;17.00;102.25;111.85
309;45;17.50;101.75;111.90
310;45;17.50;101.75;111.85
311;45;17.50;102.25;111.90
312;45;17.50;102.25;111.85
313;35;16.00;100.75;111.90
314;35;16.00;100.75;111.85
315;35;16.00;101.25;111.90
316;35;16.00;101.25;111.85
317;35;16.50;100.75;111.90
318;35;16.50;100.75;111.85
319;35;16.50;101.25;111.90
320;35;16.50;101.25;111.85
321;36;16.00;101.25;111.90
322;36;16.00;101.25;111.85
323;36;16.00;101.75;111.90
324;36;16.00;101.75;111.85
325;36;16.50;101.25;111.90
326;36;16.50;101.25;111.85
327;36;16.50;101.75;111.90
328;36;16.50;101.75;111.85
329;37;16.50;101.25;111.90
330;37;16.50;101.25;111.85
331;37;16.50;101.75;111.90
332;37;16.50;101.75;111.85
333;37;17.00;101.25;111.90
334;37;17.00;101.25;111.85
335;37;17.00;101.75;111.90
336;37;17.00;101.75;111.85
337;38;16.50;100.75;111.90
338;38;16.50;100.75;111.85
339;38;16.50;101.25;111.90
340;38;16.50;101.25;111.85
341;38;17.00;100.75;111.90
342;38;17.00;100.75;111.85
343;38;17.00;101.25;111.90
344;38;17.00;101.25;111.85
345;43;17.00;100.75;111.90
346;43;17.00;100.75;111.85
347;43;17.00;101.25;111.90
348;43;17.00;101.25;111.85
349;43;17.50;100.75;111.90
350;43;17.50;100.75;111.85
351;43;17.50;101.25;111.90
352;43;17.50;101.25;111.85
353;44;17.00;101.25;111.90
354;44;17.00;101.25;111.85
