"SID","above_surface","escargotiere","mixed_escargotiere","mixed_couche_rouge","couche_rouge","below_bottom"
235,NA,100,NA,NA,NA,NA
236,NA,100,NA,NA,NA,NA
237,NA,100,NA,NA,NA,NA
238,NA,100,NA,NA,NA,NA
239,NA,100,NA,NA,NA,NA
240,NA,100,NA,NA,NA,NA
241,NA,100,NA,NA,NA,NA
242,NA,100,NA,NA,NA,NA
243,NA,100,NA,NA,NA,NA
244,NA,100,NA,NA,NA,NA
245,NA,63.9,36.1,NA,NA,NA
246,NA,54.2,45.8,NA,NA,NA
247,NA,100,NA,NA,NA,NA
248,NA,100,NA,NA,NA,NA
249,NA,99.5,0.5,NA,NA,NA
250,NA,99.5,0.5,NA,NA,NA
251,NA,100,NA,NA,NA,NA
252,NA,100,NA,NA,NA,NA
253,NA,100,NA,NA,NA,NA
254,NA,100,NA,NA,NA,NA
255,NA,100,NA,NA,NA,NA
256,NA,100,NA,NA,NA,NA
257,NA,100,NA,NA,NA,NA
258,NA,100,NA,NA,NA,NA
259,NA,39.4,60.6,NA,NA,NA
260,NA,26.9,73.1,NA,NA,NA
261,NA,100,NA,NA,NA,NA
262,NA,100,NA,NA,NA,NA
263,NA,93.5,6.5,NA,NA,NA
264,NA,91.2,8.8,NA,NA,NA
265,NA,100,NA,NA,NA,NA
266,NA,100,NA,NA,NA,NA
267,NA,100,NA,NA,NA,NA
268,NA,100,NA,NA,NA,NA
269,NA,100,NA,NA,NA,NA
270,NA,100,NA,NA,NA,NA
271,NA,100,NA,NA,NA,NA
272,NA,100,NA,NA,NA,NA
273,NA,23.1,76.9,NA,NA,NA
274,NA,4.6,95.4,NA,NA,NA
275,NA,100,NA,NA,NA,NA
276,NA,100,NA,NA,NA,NA
277,NA,78.2,21.8,NA,NA,NA
278,NA,76.4,23.6,NA,NA,NA
279,NA,100,NA,NA,NA,NA
280,NA,100,NA,NA,NA,NA
281,NA,100,NA,NA,NA,NA
282,NA,100,NA,NA,NA,NA
283,NA,100,NA,NA,NA,NA
284,NA,100,NA,NA,NA,NA
285,NA,100,NA,NA,NA,NA
286,NA,100,NA,NA,NA,NA
287,NA,8.3,91.7,NA,NA,NA
288,NA,0.9,99.1,NA,NA,NA
289,NA,100,NA,NA,NA,NA
290,NA,91.7,8.3,NA,NA,NA
291,NA,59.3,40.7,NA,NA,NA
292,NA,59.3,40.7,NA,NA,NA
293,NA,100,NA,NA,NA,NA
294,NA,100,NA,NA,NA,NA
295,NA,100,NA,NA,NA,NA
296,NA,100,NA,NA,NA,NA
297,NA,100,NA,NA,NA,NA
298,NA,100,NA,NA,NA,NA
299,NA,99.1,0.9,NA,NA,NA
300,NA,97.7,2.3,NA,NA,NA
301,NA,NA,100,NA,NA,NA
302,NA,NA,100,NA,NA,NA
303,NA,88,12,NA,NA,NA
304,NA,76.9,23.1,NA,NA,NA
305,NA,40.3,59.7,NA,NA,NA
306,NA,36.1,63.9,NA,NA,NA
307,NA,100,NA,NA,NA,NA
308,NA,100,NA,NA,NA,NA
309,NA,100,NA,NA,NA,NA
310,NA,100,NA,NA,NA,NA
311,NA,100,NA,NA,NA,NA
312,NA,100,NA,NA,NA,NA
313,NA,93.1,6.9,NA,NA,NA
314,NA,81.9,18.1,NA,NA,NA
315,NA,NA,100,NA,NA,NA
316,NA,NA,100,NA,NA,NA
317,NA,36.1,63.9,NA,NA,NA
318,NA,43.1,56.9,NA,NA,NA
319,NA,21.3,78.7,NA,NA,NA
320,NA,11.1,88.9,NA,NA,NA
321,NA,92.6,7.4,NA,NA,NA
322,NA,96.3,3.7,NA,NA,NA
323,NA,100,NA,NA,NA,NA
324,NA,100,NA,NA,NA,NA
325,NA,100,NA,NA,NA,NA
326,NA,100,NA,NA,NA,NA
327,NA,63.4,36.6,NA,NA,NA
328,NA,44.4,55.6,NA,NA,NA
329,NA,6,94,NA,NA,NA
330,NA,NA,100,NA,NA,NA
331,NA,66.2,33.8,NA,NA,NA
332,NA,79.6,20.4,NA,NA,NA
333,NA,100,NA,NA,NA,NA
334,NA,100,NA,NA,NA,NA
335,NA,100,NA,NA,NA,NA
336,NA,100,NA,NA,NA,NA
337,NA,7.9,92.1,NA,NA,NA
338,NA,5.1,94.9,NA,NA,NA
339,NA,0.5,99.5,NA,NA,NA
340,NA,NA,100,NA,NA,NA
341,NA,33.3,66.7,NA,NA,NA
342,NA,42.6,57.4,NA,NA,NA
343,NA,99.1,0.9,NA,NA,NA
344,NA,100,NA,NA,NA,NA
345,NA,100,NA,NA,NA,NA
346,NA,100,NA,NA,NA,NA
347,NA,NA,100,NA,NA,NA
348,NA,NA,100,NA,NA,NA
349,NA,42.6,57.4,NA,NA,NA
350,NA,NA,100,NA,NA,NA
351,NA,NA,100,NA,NA,NA
352,NA,2.8,97.2,NA,NA,NA
353,NA,1.9,98.1,NA,NA,NA
354,NA,45.4,54.6,NA,NA,NA
355,NA,63,37,NA,NA,NA
356,NA,99.5,0.5,NA,NA,NA
